First_Reaction,Second_Reaction,Shared_Entity,Shared_Entity_Type,Logic,Value
R-HSA-1592278,R-HSA-8940554,R-HSA-381456,Input,OR,0
R-HSA-1592297,R-HSA-1564169,R-HSA-375064,Input,OR,0
R-HSA-1592297,R-HSA-375135,R-HSA-375064,Input,OR,0
R-HSA-1592316,R-HSA-1602473,R-HSA-1602470,Input,OR,0
R-HSA-1592349,R-HSA-1604350,R-HSA-1604365,Input,AND,1
R-HSA-1592362,R-HSA-8940561,R-HSA-1442479,Input,OR,0
R-HSA-1592371,R-HSA-1604731,R-HSA-1604735,Input,OR,0
R-HSA-1592387,R-HSA-2328048,R-HSA-2395337,Input,AND,1
R-HSA-1592436,R-HSA-1604690,R-HSA-1604726,Input,OR,0
R-HSA-1602458,R-HSA-2485111,R-HSA-1442488,Input,AND,1
R-HSA-1602458,R-HSA-2533944,R-HSA-1442488,Input,AND,1
R-HSA-1602473,R-HSA-1592297,R-HSA-1604355,Input,OR,0
R-HSA-1604350,R-HSA-1604360,R-HSA-1604369,Input,OR,0
R-HSA-1604359,R-HSA-1592278,R-HSA-1604345,Input,OR,0
R-HSA-1604360,R-HSA-1604368,R-HSA-1604373,Input,OR,0
R-HSA-1604690,R-HSA-2168982,R-HSA-668812,Input,OR,0
R-HSA-1604712,R-HSA-1604763,R-HSA-1604766,Input,OR,0
R-HSA-1604722,R-HSA-2168982,R-HSA-668812,Input,OR,0
R-HSA-1604732,R-HSA-8942302,R-HSA-1442483,Input,AND,1
R-HSA-1604763,R-HSA-8940561,R-HSA-1442479,Input,OR,0
R-HSA-1614460,R-HSA-1614461,R-HSA-1614447,Input,AND,1
R-HSA-1650808,R-HSA-8948234,R-HSA-2022076,Input,OR,0
R-HSA-1980233,R-HSA-8948226,R-HSA-2022426,Input,OR,0
R-HSA-1981104,R-HSA-8948232,R-HSA-2022428,Input,OR,0
R-HSA-1981120,R-HSA-8948231,R-HSA-2023003,Input,OR,0
R-HSA-1981128,R-HSA-8948222,R-HSA-8948229,Input,OR,0
R-HSA-1981128,R-HSA-1981157,R-HSA-8948229,Input,OR,0
R-HSA-1981157,R-HSA-8948224,R-HSA-2023661,Input,OR,0
R-HSA-2002460,R-HSA-1650808,R-HSA-2022120,Input,OR,0
R-HSA-2002466,R-HSA-2243931,R-HSA-2228714,Input,OR,0
R-HSA-2002466,R-HSA-2395257,R-HSA-2228714,Input,OR,0
R-HSA-202723,R-HSA-2327746,R-HSA-202708,Input,AND,1
R-HSA-2089971,R-HSA-2022073,R-HSA-2127480,Input,AND,1
R-HSA-2129353,R-HSA-2129375,R-HSA-2161254,Input,AND,1
R-HSA-2129375,R-HSA-1592387,R-HSA-2161360,Input,AND,1
R-HSA-2129385,R-HSA-2129353,R-HSA-2396329,Input,AND,1
R-HSA-2161293,R-HSA-2129353,R-HSA-2161342,Input,AND,1
R-HSA-2213195,R-HSA-3787997,R-HSA-2214333,Input,OR,0
R-HSA-2213195,R-HSA-4084501,R-HSA-2214333,Input,OR,0
R-HSA-2213195,R-HSA-4086216,R-HSA-2214333,Input,OR,0
R-HSA-2213195,R-HSA-1564120,R-HSA-2214333,Input,OR,0
R-HSA-2213195,R-HSA-2396234,R-HSA-2214333,Input,OR,0
R-HSA-2213200,R-HSA-1604722,R-HSA-2225575,Negative Regulator,AND,-1
R-HSA-2213200,R-HSA-1604732,R-HSA-2225575,Negative Regulator,AND,-1
R-HSA-2213200,R-HSA-1592278,R-HSA-2225575,Negative Regulator,AND,-1
R-HSA-2214324,R-HSA-2214330,R-HSA-2127449,Input,OR,0
R-HSA-2214330,R-HSA-2213195,R-HSA-2214316,Input,AND,1
R-HSA-2327803,R-HSA-2426530,R-HSA-2426517,Input,OR,0
R-HSA-2327803,R-HSA-2426450,R-HSA-2426517,Input,OR,0
R-HSA-2328048,R-HSA-2161282,R-HSA-2396077,Input,AND,1
R-HSA-2395257,R-HSA-2243926,R-HSA-2396268,Input,OR,0
R-HSA-2395257,R-HSA-2395324,R-HSA-2396268,Input,OR,0
R-HSA-2395257,R-HSA-2250301,R-HSA-2396268,Input,OR,0
R-HSA-2395302,R-HSA-2395223,R-HSA-2396143,Input,OR,0
R-HSA-2395302,R-HSA-2395324,R-HSA-2396143,Input,OR,0
R-HSA-2395302,R-HSA-2395322,R-HSA-2396143,Input,OR,0
R-HSA-2395314,R-HSA-2395322,R-HSA-2447200,Input,OR,0
R-HSA-2395314,R-HSA-2250301,R-HSA-2447200,Input,OR,0
R-HSA-2395340,R-HSA-2395302,R-HSA-2396055,Input,OR,0
R-HSA-2395340,R-HSA-2395314,R-HSA-2396055,Input,OR,0
R-HSA-2545196,R-HSA-202723,R-HSA-266103,Input,AND,1
R-HSA-2731147,R-HSA-2750187,R-HSA-2731080,Input,AND,1
R-HSA-3787997,R-HSA-2213192,R-HSA-2220790,Input,AND,1
R-HSA-8948219,R-HSA-1981128,R-HSA-8948225,Input,OR,0
R-HSA-8948222,R-HSA-8948219,R-HSA-1981148,Input,AND,1
R-HSA-8948222,R-HSA-1981128,R-HSA-1981148,Input,AND,1
R-HSA-8948222,R-HSA-1981157,R-HSA-1981148,Input,AND,1
R-HSA-8948224,R-HSA-8948219,R-HSA-1981148,Input,AND,1
R-HSA-8948224,R-HSA-1981128,R-HSA-1981148,Input,AND,1
R-HSA-8948224,R-HSA-1981157,R-HSA-1981148,Input,AND,1
R-HSA-8948226,R-HSA-8948230,R-HSA-1981160,Input,AND,1
R-HSA-8948228,R-HSA-1981120,R-HSA-8948218,Input,OR,0
R-HSA-8948230,R-HSA-1980233,R-HSA-8948233,Input,OR,0
R-HSA-8948234,R-HSA-2002460,R-HSA-174692,Input,AND,1
R-HSA-1474266,R-HSA-216045,R-HSA-1474201,Input,OR,0
R-HSA-1474266,R-HSA-216043,R-HSA-1474209,Input,OR,0
R-HSA-1474266,R-HSA-2327695,R-HSA-1474212,Input,OR,0
R-HSA-1474266,R-HSA-2327695,R-HSA-1609685,Input,OR,0
R-HSA-1474266,R-HSA-4084910,R-HSA-1474209,Input,OR,0
R-HSA-1474266,R-HSA-114563,R-HSA-1474201,Input,OR,0
R-HSA-1474266,R-HSA-1474210,R-HSA-1474212,Input,OR,0
R-HSA-1474266,R-HSA-1474213,R-HSA-1474212,Input,OR,0
R-HSA-1474266,R-HSA-1454822,R-HSA-1474201,Input,OR,0
R-HSA-1474266,R-HSA-2473594,R-HSA-1474209,Input,OR,0
R-HSA-1474266,R-HSA-2473596,R-HSA-1474201,Input,OR,0
R-HSA-1474266,R-HSA-1458433,R-HSA-1474201,Input,OR,0
R-HSA-1474266,R-HSA-2473584,R-HSA-1474212,Input,OR,0
R-HSA-1474266,R-HSA-1564164,R-HSA-1609685,Input,OR,0
R-HSA-1474266,R-HSA-2485111,R-HSA-1474212,Input,OR,0
R-HSA-1474266,R-HSA-1564179,R-HSA-2168008,Input,OR,0
R-HSA-1474266,R-HSA-1474197,R-HSA-1474209,Input,OR,0
R-HSA-1474266,R-HSA-1474196,R-HSA-1474209,Input,OR,0
R-HSA-1474266,R-HSA-2213201,R-HSA-1474212,Input,OR,0
R-HSA-1474266,R-HSA-2213201,R-HSA-2193154,Input,OR,0
R-HSA-1474266,R-HSA-2213201,R-HSA-2193157,Input,OR,0
R-HSA-1474266,R-HSA-2213201,R-HSA-1474209,Input,OR,0
R-HSA-1474266,R-HSA-2213201,R-HSA-2168008,Input,OR,0
R-HSA-1474266,R-HSA-2213201,R-HSA-1609685,Input,OR,0
R-HSA-1474266,R-HSA-2213201,R-HSA-1474201,Input,OR,0
R-HSA-1474266,R-HSA-2396234,R-HSA-1474201,Input,OR,0
R-HSA-1474266,R-HSA-2213205,R-HSA-1474209,Input,OR,0
R-HSA-1474266,R-HSA-2213205,R-HSA-1474201,Input,OR,0
R-HSA-1474266,R-HSA-2299620,R-HSA-1474209,Input,OR,0
R-HSA-1474266,R-HSA-2299620,R-HSA-2168008,Input,OR,0
R-HSA-1474266,R-HSA-2213208,R-HSA-1474209,Input,OR,0
R-HSA-1474266,R-HSA-2213210,R-HSA-1474209,Input,OR,0
R-HSA-1474266,R-HSA-2395302,R-HSA-1474201,Input,OR,0
R-HSA-1474266,R-HSA-2395340,R-HSA-1474201,Input,OR,0
R-HSA-1474266,R-HSA-2243926,R-HSA-1474201,Input,OR,0
R-HSA-1474266,R-HSA-2395314,R-HSA-1474201,Input,OR,0
R-HSA-1474266,R-HSA-2243931,R-HSA-1474201,Input,OR,0
R-HSA-1474266,R-HSA-2002466,R-HSA-1474201,Input,OR,0
R-HSA-1474266,R-HSA-2395257,R-HSA-1474201,Input,OR,0
R-HSA-1474266,R-HSA-2327733,R-HSA-1474212,Input,OR,0
R-HSA-1474266,R-HSA-2327733,R-HSA-1474209,Input,OR,0
R-HSA-1474266,R-HSA-2327733,R-HSA-1609685,Input,OR,0
R-HSA-1474266,R-HSA-2327733,R-HSA-1474201,Input,OR,0
R-HSA-1474266,R-HSA-2465890,R-HSA-1474212,Input,OR,0
R-HSA-1474266,R-HSA-2465890,R-HSA-1474209,Input,OR,0
R-HSA-1474266,R-HSA-2465890,R-HSA-1609685,Input,OR,0
R-HSA-1474266,R-HSA-2465890,R-HSA-1474201,Input,OR,0
R-HSA-1474266,R-HSA-2731075,R-HSA-1474212,Input,OR,0
R-HSA-1474266,R-HSA-2731075,R-HSA-1609685,Input,OR,0
R-HSA-1474266,R-HSA-2731075,R-HSA-1474201,Input,OR,0
R-HSA-1474266,R-HSA-2327738,R-HSA-2168008,Input,OR,0
R-HSA-1474266,R-HSA-2327738,R-HSA-1474212,Input,OR,0
R-HSA-1474266,R-HSA-2327738,R-HSA-1474209,Input,OR,0
R-HSA-1474266,R-HSA-2327738,R-HSA-1609685,Input,OR,0
R-HSA-1474266,R-HSA-2327738,R-HSA-1474201,Input,OR,0
R-HSA-1474266,R-HSA-4086204,R-HSA-1474201,Input,OR,0
R-HSA-1474266,R-HSA-2327909,R-HSA-1474212,Input,OR,0
R-HSA-1474266,R-HSA-2327909,R-HSA-1474209,Input,OR,0
R-HSA-1474266,R-HSA-2327909,R-HSA-1474201,Input,OR,0
R-HSA-1474266,R-HSA-2396370,R-HSA-1474212,Input,OR,0
R-HSA-1474266,R-HSA-2396370,R-HSA-1474209,Input,OR,0
R-HSA-1474266,R-HSA-2396370,R-HSA-1609685,Input,OR,0
R-HSA-1474266,R-HSA-2424243,R-HSA-1474201,Input,OR,0
R-HSA-1474266,R-HSA-2424252,R-HSA-1474209,Input,OR,0
R-HSA-1474266,R-HSA-2424252,R-HSA-1474201,Input,OR,0
R-HSA-1474266,R-HSA-2466238,R-HSA-1474212,Input,OR,0
R-HSA-1474266,R-HSA-2466238,R-HSA-1474209,Input,OR,0
R-HSA-1474266,R-HSA-2465883,R-HSA-1474201,Input,OR,0
R-HSA-1564142,R-HSA-2537499,R-HSA-2564685,Input,OR,0
R-HSA-1564142,R-HSA-2537499,R-HSA-2564682,Input,OR,0
R-HSA-1564142,R-HSA-2537499,R-HSA-2564681,Input,OR,0
R-HSA-1564142,R-HSA-1454757,R-HSA-2564685,Input,OR,0
R-HSA-1564142,R-HSA-1454757,R-HSA-2564682,Input,OR,0
R-HSA-1564142,R-HSA-1454757,R-HSA-2564681,Input,OR,0
R-HSA-1602466,R-HSA-1605825,R-HSA-1442484,Input,OR,0
R-HSA-1602466,R-HSA-1605825,R-HSA-1442482,Input,OR,0
R-HSA-1602466,R-HSA-1605825,R-HSA-1606382,Input,OR,0
R-HSA-1602466,R-HSA-1605825,R-HSA-1606419,Input,OR,0
R-HSA-1602466,R-HSA-1605825,R-HSA-1604724,Input,OR,0
R-HSA-1602466,R-HSA-1605825,R-HSA-1442491,Input,OR,0
R-HSA-1605825,R-HSA-1474210,R-HSA-1442472,Input,AND,1
R-HSA-1605825,R-HSA-2473594,R-HSA-1605823,Catalyst,AND,1
R-HSA-1605825,R-HSA-2473596,R-HSA-1605823,Catalyst,AND,1
R-HSA-1605825,R-HSA-1458433,R-HSA-1442472,Input,AND,1
R-HSA-1605825,R-HSA-2473584,R-HSA-1605823,Catalyst,AND,1
R-HSA-1605825,R-HSA-1474196,R-HSA-1442472,Input,AND,1
R-HSA-1605825,R-HSA-2533965,R-HSA-1605823,Catalyst,AND,1
R-HSA-1605825,R-HSA-2533965,R-HSA-1442472,Input,AND,1
R-HSA-1605825,R-HSA-2514831,R-HSA-1442472,Input,AND,1
R-HSA-1605825,R-HSA-1604741,R-HSA-1605818,Catalyst,AND,1
R-HSA-1605825,R-HSA-1604741,R-HSA-1442472,Input,AND,1
R-HSA-1605825,R-HSA-1604360,R-HSA-1605818,Catalyst,AND,1
R-HSA-1605825,R-HSA-1604360,R-HSA-1442472,Input,AND,1
R-HSA-1605825,R-HSA-1592349,R-HSA-1442472,Input,AND,1
R-HSA-1605825,R-HSA-2533950,R-HSA-1442472,Input,AND,1
R-HSA-1605825,R-HSA-2533874,R-HSA-1442472,Input,AND,1
R-HSA-1605825,R-HSA-3791155,R-HSA-1442472,Input,AND,1
R-HSA-1605825,R-HSA-2534240,R-HSA-1605823,Catalyst,AND,1
R-HSA-1605825,R-HSA-2534240,R-HSA-1442472,Input,AND,1
R-HSA-1605825,R-HSA-3828025,R-HSA-1442472,Input,AND,1
R-HSA-1605825,R-HSA-2514790,R-HSA-1442472,Input,AND,1
R-HSA-2002428,R-HSA-2002440,R-HSA-2268803,Input,OR,0
R-HSA-2002428,R-HSA-2002440,R-HSA-2268776,Input,OR,0
R-HSA-2002428,R-HSA-2002440,R-HSA-2268936,Input,OR,0
R-HSA-2002428,R-HSA-2002440,R-HSA-2268898,Input,OR,0
R-HSA-2002428,R-HSA-2002440,R-HSA-2268882,Input,OR,0
R-HSA-2002428,R-HSA-2002440,R-HSA-2268793,Input,OR,0
R-HSA-2002428,R-HSA-2002440,R-HSA-2268745,Input,OR,0
R-HSA-2002428,R-HSA-2002440,R-HSA-2268777,Input,OR,0
R-HSA-2002428,R-HSA-2002440,R-HSA-2268921,Input,OR,0
R-HSA-2002428,R-HSA-2002440,R-HSA-2268830,Input,OR,0
R-HSA-2002440,R-HSA-1474266,R-HSA-2127377,Input,OR,0
R-HSA-2002440,R-HSA-1474266,R-HSA-2152372,Input,OR,0
R-HSA-2002440,R-HSA-1474266,R-HSA-2152344,Input,OR,0
R-HSA-2002440,R-HSA-1474266,R-HSA-2127436,Input,OR,0
R-HSA-2002440,R-HSA-1474266,R-HSA-2089970,Input,OR,0
R-HSA-2002440,R-HSA-1474266,R-HSA-2127422,Input,OR,0
R-HSA-2002440,R-HSA-1474266,R-HSA-2127296,Input,OR,0
R-HSA-2002440,R-HSA-1474266,R-HSA-2127308,Input,OR,0
R-HSA-2002440,R-HSA-1474266,R-HSA-2127310,Input,OR,0
R-HSA-2002440,R-HSA-1474266,R-HSA-2142910,Input,OR,0
R-HSA-2089971,R-HSA-4086223,R-HSA-2142899,Input,OR,0
R-HSA-2089971,R-HSA-2327695,R-HSA-2142899,Input,OR,0
R-HSA-2089971,R-HSA-2327695,R-HSA-2143413,Input,OR,0
R-HSA-2089971,R-HSA-4084903,R-HSA-2142899,Input,OR,0
R-HSA-2089971,R-HSA-2168982,R-HSA-2143413,Input,OR,0
R-HSA-2089971,R-HSA-2172433,R-HSA-2152272,Input,AND,1
R-HSA-2089971,R-HSA-2168046,R-HSA-2142915,Input,AND,1
R-HSA-2089971,R-HSA-1564184,R-HSA-2142899,Input,OR,0
R-HSA-2089971,R-HSA-1564117,R-HSA-2143434,Input,OR,0
R-HSA-2089971,R-HSA-2214324,R-HSA-2022124,Input,AND,1
R-HSA-2089971,R-HSA-2213200,R-HSA-2152295,Input,OR,0
R-HSA-2089971,R-HSA-2213200,R-HSA-2168060,Input,OR,0
R-HSA-2089971,R-HSA-2213207,R-HSA-2142930,Input,OR,0
R-HSA-2089971,R-HSA-2213207,R-HSA-2168043,Input,OR,0
R-HSA-2089971,R-HSA-2213207,R-HSA-1637811,Input,OR,0
R-HSA-2089971,R-HSA-2213210,R-HSA-2142899,Input,OR,0
R-HSA-2089971,R-HSA-2002428,R-HSA-2182022,Input,OR,0
R-HSA-2089971,R-HSA-2002428,R-HSA-2268752,Input,OR,0
R-HSA-2089971,R-HSA-2002428,R-HSA-2268711,Input,OR,0
R-HSA-2089971,R-HSA-2002428,R-HSA-2268676,Input,OR,0
R-HSA-2089971,R-HSA-2002428,R-HSA-2268660,Input,OR,0
R-HSA-2089971,R-HSA-2002428,R-HSA-2268659,Input,OR,0
R-HSA-2089971,R-HSA-2002428,R-HSA-2268645,Input,OR,0
R-HSA-2089971,R-HSA-2002428,R-HSA-2268712,Input,OR,0
R-HSA-2089971,R-HSA-2002428,R-HSA-2268825,Input,OR,0
R-HSA-2089971,R-HSA-2002428,R-HSA-2268686,Input,OR,0
R-HSA-2089971,R-HSA-2002428,R-HSA-2268847,Input,OR,0
R-HSA-2089971,R-HSA-2466106,R-HSA-2142899,Input,OR,0
R-HSA-2129357,R-HSA-2129362,R-HSA-2159815,Input,OR,0
R-HSA-2129357,R-HSA-2129362,R-HSA-2159846,Input,OR,0
R-HSA-2129357,R-HSA-2129362,R-HSA-2159853,Input,OR,0
R-HSA-2129362,R-HSA-2485148,R-HSA-2159866,Input,OR,0
R-HSA-2129362,R-HSA-2485148,R-HSA-2159874,Input,OR,0
R-HSA-2129362,R-HSA-2485148,R-HSA-2159861,Input,OR,0
R-HSA-2129362,R-HSA-2514772,R-HSA-2159874,Input,OR,0
R-HSA-2129362,R-HSA-2514831,R-HSA-2159874,Input,OR,0
R-HSA-2129362,R-HSA-2514823,R-HSA-2159874,Input,OR,0
R-HSA-2129362,R-HSA-2328033,R-HSA-2159874,Input,OR,0
R-HSA-2129362,R-HSA-2396399,R-HSA-2159866,Input,OR,0
R-HSA-2129362,R-HSA-2396399,R-HSA-2159874,Input,OR,0
R-HSA-2129362,R-HSA-2396399,R-HSA-2159861,Input,OR,0
R-HSA-2129362,R-HSA-2328037,R-HSA-2159874,Input,OR,0
R-HSA-2129362,R-HSA-2129385,R-HSA-2159866,Input,OR,0
R-HSA-2129362,R-HSA-2129385,R-HSA-2159874,Input,OR,0
R-HSA-2129362,R-HSA-2129385,R-HSA-2159861,Input,OR,0
R-HSA-2152276,R-HSA-2484965,R-HSA-2143423,Input,OR,0
R-HSA-2152276,R-HSA-2473511,R-HSA-2152345,Input,OR,0
R-HSA-2152276,R-HSA-2167942,R-HSA-2143423,Input,OR,0
R-HSA-2152276,R-HSA-2168960,R-HSA-2152283,Input,OR,0
R-HSA-2152276,R-HSA-2172405,R-HSA-2152345,Input,OR,0
R-HSA-2152276,R-HSA-2471842,R-HSA-2152353,Input,OR,0
R-HSA-2168923,R-HSA-4088264,R-HSA-2470901,Input,OR,0
R-HSA-2168923,R-HSA-4088264,R-HSA-2470900,Input,OR,0
R-HSA-2168923,R-HSA-4088264,R-HSA-2470868,Input,OR,0
R-HSA-2168923,R-HSA-4088264,R-HSA-2470850,Input,OR,0
R-HSA-2168923,R-HSA-4088264,R-HSA-2470914,Input,OR,0
R-HSA-2168923,R-HSA-4088264,R-HSA-2470860,Input,OR,0
R-HSA-2168923,R-HSA-4088264,R-HSA-2470892,Input,OR,0
R-HSA-2168923,R-HSA-4088264,R-HSA-2470927,Input,OR,0
R-HSA-2168923,R-HSA-4088264,R-HSA-2470895,Input,OR,0
R-HSA-2168923,R-HSA-4088264,R-HSA-2470846,Input,OR,0
R-HSA-2168923,R-HSA-4088264,R-HSA-2470856,Input,OR,0
R-HSA-2168923,R-HSA-4088264,R-HSA-2470906,Input,OR,0
R-HSA-2168923,R-HSA-2471621,R-HSA-2470901,Input,OR,0
R-HSA-2168923,R-HSA-2471621,R-HSA-2470900,Input,OR,0
R-HSA-2168923,R-HSA-2471621,R-HSA-2470868,Input,OR,0
R-HSA-2168923,R-HSA-2471621,R-HSA-2470850,Input,OR,0
R-HSA-2168923,R-HSA-2471621,R-HSA-2470914,Input,OR,0
R-HSA-2168923,R-HSA-2471621,R-HSA-2470860,Input,OR,0
R-HSA-2168923,R-HSA-2471621,R-HSA-2470892,Input,OR,0
R-HSA-2168923,R-HSA-2471621,R-HSA-2470927,Input,OR,0
R-HSA-2168923,R-HSA-2471621,R-HSA-2470895,Input,OR,0
R-HSA-2168923,R-HSA-2471621,R-HSA-2470846,Input,OR,0
R-HSA-2168923,R-HSA-2471621,R-HSA-2470856,Input,OR,0
R-HSA-2168923,R-HSA-2471621,R-HSA-2470906,Input,OR,0
R-HSA-2213201,R-HSA-2466106,R-HSA-2214305,Input,AND,1
R-HSA-2213207,R-HSA-4084501,R-HSA-2564668,Input,OR,0
R-HSA-2213207,R-HSA-4084501,R-HSA-2214294,Input,OR,0
R-HSA-2213207,R-HSA-4084501,R-HSA-2564669,Input,OR,0
R-HSA-2213207,R-HSA-4084501,R-HSA-2564665,Input,OR,0
R-HSA-2213207,R-HSA-2328145,R-HSA-2564668,Input,OR,0
R-HSA-2213207,R-HSA-2328145,R-HSA-2214294,Input,OR,0
R-HSA-2213207,R-HSA-2328145,R-HSA-2564669,Input,OR,0
R-HSA-2213207,R-HSA-2328145,R-HSA-2564665,Input,OR,0
R-HSA-2213207,R-HSA-2426450,R-HSA-2564668,Input,OR,0
R-HSA-2213207,R-HSA-2426450,R-HSA-2214294,Input,OR,0
R-HSA-2213207,R-HSA-2426450,R-HSA-2564669,Input,OR,0
R-HSA-2213207,R-HSA-2426450,R-HSA-2564665,Input,OR,0
R-HSA-2213207,R-HSA-216040,R-HSA-2564668,Input,OR,0
R-HSA-2213207,R-HSA-216040,R-HSA-2214294,Input,OR,0
R-HSA-2213207,R-HSA-216040,R-HSA-2564669,Input,OR,0
R-HSA-2213207,R-HSA-216040,R-HSA-2564665,Input,OR,0
R-HSA-2213207,R-HSA-4539779,R-HSA-2564668,Input,OR,0
R-HSA-2213207,R-HSA-4539779,R-HSA-2214294,Input,OR,0
R-HSA-2213207,R-HSA-4539779,R-HSA-2564669,Input,OR,0
R-HSA-2213207,R-HSA-4539779,R-HSA-2564665,Input,OR,0
R-HSA-2213207,R-HSA-2470555,R-HSA-2214298,Input,OR,0
R-HSA-2213207,R-HSA-2327695,R-HSA-2214296,Input,OR,0
R-HSA-2213207,R-HSA-2327695,R-HSA-2564668,Input,OR,0
R-HSA-2213207,R-HSA-2327695,R-HSA-2214294,Input,OR,0
R-HSA-2213207,R-HSA-2327695,R-HSA-2564669,Input,OR,0
R-HSA-2213207,R-HSA-2327695,R-HSA-2564665,Input,OR,0
R-HSA-2213207,R-HSA-4084903,R-HSA-2214296,Input,OR,0
R-HSA-2213207,R-HSA-1564142,R-HSA-2564668,Input,OR,0
R-HSA-2213207,R-HSA-1564142,R-HSA-2214294,Input,OR,0
R-HSA-2213207,R-HSA-1564142,R-HSA-2564669,Input,OR,0
R-HSA-2213207,R-HSA-1564142,R-HSA-2564665,Input,OR,0
R-HSA-2213207,R-HSA-2396234,R-HSA-2564668,Input,OR,0
R-HSA-2213207,R-HSA-2396234,R-HSA-2214294,Input,OR,0
R-HSA-2213207,R-HSA-2396234,R-HSA-2564669,Input,OR,0
R-HSA-2213207,R-HSA-2396234,R-HSA-2564665,Input,OR,0
R-HSA-2213207,R-HSA-2213208,R-HSA-2214298,Input,OR,0
R-HSA-2213207,R-HSA-2559639,R-HSA-2564668,Input,OR,0
R-HSA-2213207,R-HSA-2559639,R-HSA-2214294,Input,OR,0
R-HSA-2213207,R-HSA-2559639,R-HSA-2564669,Input,OR,0
R-HSA-2213207,R-HSA-2559639,R-HSA-2564665,Input,OR,0
R-HSA-2213207,R-HSA-2327733,R-HSA-2564668,Input,OR,0
R-HSA-2213207,R-HSA-2327733,R-HSA-2214294,Input,OR,0
R-HSA-2213207,R-HSA-2327733,R-HSA-2564669,Input,OR,0
R-HSA-2213207,R-HSA-2327733,R-HSA-2564665,Input,OR,0
R-HSA-2213207,R-HSA-2327738,R-HSA-2564668,Input,OR,0
R-HSA-2213207,R-HSA-2327738,R-HSA-2214294,Input,OR,0
R-HSA-2213207,R-HSA-2327738,R-HSA-2564669,Input,OR,0
