First_Reaction,Second_Reaction,Shared_Entity,Shared_Entity_Type,Logic,Value
R-HSA-1237325,R-HSA-1247668,R-HSA-1237312,Input,OR,0
R-HSA-1247668,R-HSA-1237325,R-HSA-1237320,Input,OR,0
R-HSA-163617,R-HSA-164377,R-HSA-163622,Catalyst,AND,1
R-HSA-171059,R-HSA-171106,R-HSA-171056,Input,OR,0
R-HSA-171087,R-HSA-174657,R-HSA-171053,Input,OR,0
R-HSA-171087,R-HSA-171122,R-HSA-171053,Input,OR,0
R-HSA-171087,R-HSA-6784734,R-HSA-171053,Input,OR,0
R-HSA-171106,R-HSA-8876366,R-HSA-171082,Input,AND,1
R-HSA-171106,R-HSA-171087,R-HSA-171127,Input,AND,1
R-HSA-171122,R-HSA-171141,R-HSA-171100,Input,AND,1
R-HSA-171141,R-HSA-171059,R-HSA-171108,Input,AND,1
R-HSA-174587,R-HSA-174660,R-HSA-174791,Input,OR,0
R-HSA-174624,R-HSA-171087,R-HSA-171127,Input,AND,1
R-HSA-174657,R-HSA-174706,R-HSA-174749,Input,AND,1
R-HSA-174660,R-HSA-174757,R-HSA-174697,Input,OR,0
R-HSA-174660,R-HSA-266315,R-HSA-265523,Input,OR,0
R-HSA-174660,R-HSA-349404,R-HSA-265523,Input,OR,0
R-HSA-174660,R-HSA-266303,R-HSA-265523,Input,OR,0
R-HSA-174660,R-HSA-266328,R-HSA-265523,Input,OR,0
R-HSA-174660,R-HSA-266299,R-HSA-265523,Input,OR,0
R-HSA-174660,R-HSA-174690,R-HSA-265523,Input,OR,0
R-HSA-174660,R-HSA-349637,R-HSA-265523,Input,OR,0
R-HSA-174660,R-HSA-8858252,R-HSA-265523,Input,OR,0
R-HSA-174690,R-HSA-174739,R-HSA-174807,Input,AND,1
R-HSA-174706,R-HSA-174808,R-HSA-174816,Input,AND,1
R-HSA-174739,R-HSA-174657,R-HSA-174792,Input,AND,1
R-HSA-174741,R-HSA-174587,R-HSA-174626,Input,AND,1
R-HSA-174757,R-HSA-174690,R-HSA-174798,Input,OR,0
R-HSA-174808,R-HSA-174624,R-HSA-174658,Input,OR,0
R-HSA-194079,R-HSA-264679,R-HSA-194115,Input,AND,1
R-HSA-194083,R-HSA-264679,R-HSA-194115,Input,AND,1
R-HSA-194130,R-HSA-264679,R-HSA-194115,Input,AND,1
R-HSA-216727,R-HSA-216723,R-HSA-5682094,Catalyst,AND,1
R-HSA-216727,R-HSA-216757,R-HSA-5682094,Catalyst,AND,1
R-HSA-216756,R-HSA-264678,R-HSA-216752,Input,OR,0
R-HSA-216756,R-HSA-266089,R-HSA-216752,Input,OR,0
R-HSA-264678,R-HSA-264689,R-HSA-264684,Input,OR,0
R-HSA-264689,R-HSA-264678,R-HSA-194239,Input,OR,0
R-HSA-264689,R-HSA-266315,R-HSA-194239,Input,OR,0
R-HSA-264689,R-HSA-264695,R-HSA-194239,Input,OR,0
R-HSA-264689,R-HSA-264678,R-HSA-216752,Input,OR,0
R-HSA-264689,R-HSA-266089,R-HSA-216752,Input,OR,0
R-HSA-264758,R-HSA-216727,R-HSA-174720,Input,OR,0
R-HSA-264758,R-HSA-216756,R-HSA-174720,Input,OR,0
R-HSA-264758,R-HSA-264695,R-HSA-174720,Input,OR,0
R-HSA-264758,R-HSA-264848,R-HSA-174720,Input,OR,0
R-HSA-264848,R-HSA-264834,R-HSA-264851,Input,AND,1
R-HSA-266303,R-HSA-174660,R-HSA-174643,Input,OR,0
R-HSA-266310,R-HSA-264678,R-HSA-194239,Input,OR,0
R-HSA-266310,R-HSA-266315,R-HSA-194239,Input,OR,0
R-HSA-266310,R-HSA-264695,R-HSA-194239,Input,OR,0
R-HSA-266310,R-HSA-266315,R-HSA-265523,Input,OR,0
R-HSA-266310,R-HSA-349404,R-HSA-265523,Input,OR,0
R-HSA-266310,R-HSA-266303,R-HSA-265523,Input,OR,0
R-HSA-266310,R-HSA-266328,R-HSA-265523,Input,OR,0
R-HSA-266310,R-HSA-266299,R-HSA-265523,Input,OR,0
R-HSA-266310,R-HSA-174690,R-HSA-265523,Input,OR,0
R-HSA-266310,R-HSA-349637,R-HSA-265523,Input,OR,0
R-HSA-266310,R-HSA-8858252,R-HSA-265523,Input,OR,0
R-HSA-266315,R-HSA-266310,R-HSA-266308,Input,OR,0
R-HSA-266328,R-HSA-266350,R-HSA-266340,Input,OR,0
R-HSA-266350,R-HSA-349404,R-HSA-266351,Input,OR,0
R-HSA-266350,R-HSA-266328,R-HSA-266351,Input,OR,0
R-HSA-349637,R-HSA-349638,R-HSA-349649,Input,OR,0
R-HSA-349638,R-HSA-349657,R-HSA-349645,Input,AND,1
R-HSA-349638,R-HSA-349637,R-HSA-349415,Input,AND,1
R-HSA-349657,R-HSA-264678,R-HSA-216752,Input,OR,0
R-HSA-349657,R-HSA-266089,R-HSA-216752,Input,OR,0
R-HSA-382613,R-HSA-382613,R-HSA-382608,Input,OR,0
R-HSA-392263,R-HSA-432188,R-HSA-392261,Input,AND,1
R-HSA-422320,R-HSA-163617,R-HSA-164358,Input,AND,1
R-HSA-432188,R-HSA-432195,R-HSA-432197,Input,OR,0
R-HSA-432232,R-HSA-432237,R-HSA-432217,Input,AND,1
R-HSA-432237,R-HSA-432065,R-HSA-432226,Catalyst,AND,1
R-HSA-450088,R-HSA-450092,R-HSA-450089,Input,OR,0
R-HSA-450092,R-HSA-450088,R-HSA-70400,Input,AND,1
R-HSA-450092,R-HSA-5339524,R-HSA-70400,Input,AND,1
R-HSA-5229273,R-HSA-5246444,R-HSA-5229238,Input,AND,1
R-HSA-5246444,R-HSA-5671707,R-HSA-5246491,Input,OR,0
R-HSA-5250209,R-HSA-5672027,R-HSA-5250205,Catalyst,AND,1
R-HSA-5250210,R-HSA-5250209,R-HSA-5250201,Input,AND,1
R-HSA-5250217,R-HSA-5250210,R-HSA-5250221,Input,AND,1
R-HSA-5252133,R-HSA-917841,R-HSA-5252081,Catalyst,AND,1
R-HSA-5340214,R-HSA-8982617,R-HSA-5340212,Input,OR,0
R-HSA-5682084,R-HSA-5682103,R-HSA-5682067,Input,AND,1
R-HSA-5682101,R-HSA-216727,R-HSA-5682107,Input,AND,1
R-HSA-5682103,R-HSA-5682101,R-HSA-5682073,Input,OR,0
R-HSA-5690873,R-HSA-5690911,R-HSA-5690885,Catalyst,AND,1
R-HSA-5691167,R-HSA-5691176,R-HSA-5691178,Input,AND,1
R-HSA-5691176,R-HSA-5691108,R-HSA-5691141,Catalyst,AND,1
R-HSA-6784620,R-HSA-6784648,R-HSA-6784654,Input,AND,1
R-HSA-6784628,R-HSA-8857928,R-HSA-5216067,Input,AND,1
R-HSA-6784648,R-HSA-6784622,R-HSA-6784629,Positive Regulator,AND,1
R-HSA-6784676,R-HSA-8857928,R-HSA-5216067,Input,AND,1
R-HSA-6784729,R-HSA-6784738,R-HSA-6784728,Input,AND,1
R-HSA-6784734,R-HSA-6784735,R-HSA-6784730,Input,AND,1
R-HSA-6784735,R-HSA-6784729,R-HSA-6784733,Input,AND,1
R-HSA-6784861,R-HSA-8857928,R-HSA-8867477,Input,AND,1
R-HSA-6785178,R-HSA-6785213,R-HSA-6785179,Input,AND,1
R-HSA-6785181,R-HSA-6785178,R-HSA-6785173,Input,OR,0
R-HSA-6785213,R-HSA-5694109,R-HSA-6785208,Catalyst,AND,1
R-HSA-8855111,R-HSA-8855131,R-HSA-8855118,Input,AND,1
R-HSA-8855131,R-HSA-8855130,R-HSA-8855134,Input,AND,1
R-HSA-8856525,R-HSA-6784628,R-HSA-6784846,Positive Regulator,AND,1
R-HSA-8857928,R-HSA-174757,R-HSA-8857969,Input,OR,0
R-HSA-8857928,R-HSA-6784628,R-HSA-8857969,Input,OR,0
R-HSA-8857928,R-HSA-6784676,R-HSA-8857969,Input,OR,0
R-HSA-8866304,R-HSA-8866327,R-HSA-8866319,Input,AND,1
R-HSA-8866308,R-HSA-8866304,R-HSA-8866311,Input,AND,1
R-HSA-8866321,R-HSA-8933292,R-HSA-8855875,Input,OR,0
R-HSA-8866321,R-HSA-8854462,R-HSA-8855875,Input,OR,0
R-HSA-8866321,R-HSA-8854408,R-HSA-8855875,Input,OR,0
R-HSA-8866327,R-HSA-8866321,R-HSA-8866325,Input,AND,1
R-HSA-8866329,R-HSA-8866308,R-HSA-6784871,Input,AND,1
R-HSA-8866542,R-HSA-8866551,R-HSA-8866531,Input,AND,1
R-HSA-8866542,R-HSA-8866553,R-HSA-8866534,Input,OR,0
R-HSA-8866546,R-HSA-8866542,R-HSA-8866535,Input,OR,0
R-HSA-8866551,R-HSA-8866546,R-HSA-8866538,Input,AND,1
R-HSA-8866851,R-HSA-5678863,R-HSA-383188,Catalyst,AND,1
R-HSA-8866851,R-HSA-383190,R-HSA-383188,Catalyst,AND,1
R-HSA-8876366,R-HSA-8865667,R-HSA-8876367,Input,OR,0
R-HSA-8876472,R-HSA-8876484,R-HSA-8876460,Input,OR,0
R-HSA-8876484,R-HSA-8876472,R-HSA-8876488,Input,AND,1
R-HSA-8876484,R-HSA-8876485,R-HSA-8876475,Input,OR,0
R-HSA-8876485,R-HSA-8876484,R-HSA-5216153,Input,OR,0
R-HSA-8949649,R-HSA-8949659,R-HSA-8949645,Input,AND,1
R-HSA-8949649,R-HSA-8949661,R-HSA-8949645,Input,AND,1
R-HSA-8949649,R-HSA-8949659,R-HSA-8949227,Input,OR,0
R-HSA-8949649,R-HSA-8953461,R-HSA-8949227,Input,OR,0
